date,S,I,R,observed_I,beta,nu
2024-01-01,999990.0,10.0,0.0,10,1.288917158004075,0.9683089529657478
2024-01-02,999977.1109573117,13.205953158667473,9.683089529657478,15,1.288917158004075,0.9683089529657478
2024-01-03,999960.0899673008,17.43950049360348,22.47053220564149,23,1.288917158004075,0.9683089529657478
2024-01-04,999937.6127929881,23.02985034305759,39.35735666884832,35,1.288917158004075,0.9683089529657478
2024-01-05,999907.9310756096,30.41155744886672,61.657366941492285,52,1.288917158004075,0.9683089529657478
2024-01-06,999868.7367063279,40.158143379276936,91.1051502928621,78,1.288917158004075,0.9683089529657478
2024-01-07,999816.9829805491,53.026379389436705,129.99064006149814,115,1.288917158004075,0.9683089529657478
2024-01-08,999748.6488789201,70.01456311227298,181.3365579676481,170,1.288917158004075,0.9683089529657478
2024-01-09,999658.4285898866,92.43912384613373,249.13228626724742,250,1.288917158004075,0.9683089529657478
2024-01-10,999539.322914085,122.0351684231924,338.64191749176825,365,1.288917158004075,0.9683089529657478
2024-01-11,999382.1021530078,161.08818333954474,456.8096636526284,530,1.288917158004075,0.9683089529657478
2024-01-12,999174.6011232616,212.60608294098398,612.7927937972973,770,1.288917158004075,0.9683089529657478
2024-01-13,998900.7956804611,280.54315217481667,818.6611673640305,1100,1.288917158004075,0.9683089529657478
2024-01-14,998539.5962669175,370.09011977431453,1090.3136133081375,1550,1.288917158004075,0.9683089529657478
2024-01-15,998063.2773967574,488.04741355277474,1448.6751896897722,2150,1.288917158004075,0.9683089529657478
2024-01-16,997435.4430120639,643.3011182313783,1921.255869704701,2950,1.288917158004075,0.9683089529657478
2024-01-17,996608.4075958263,847.4223022325738,2544.1701019410216,4000,1.288917158004075,0.9683089529657478
2024-01-18,995519.8549414412,1115.4083544229852,3364.7367041356683,5300,1.288917158004075,0.9683089529657478
2024-01-19,994088.6269407591,1466.5764593045426,4444.796599936237,6900,1.288917158004075,0.9683089529657478
2024-01-20,992209.5056210954,1925.5986632148858,5864.895715689632,8800,1.288917158004075,0.9683089529657478
2024-01-21,989746.9039821142,2523.625876786315,7729.470141099482,11000,1.288917158004075,0.9683089529657478
2024-01-22,986527.5099928,3299.3703356723304,10173.119671527706,13500,1.288917158004075,0.9683089529657478
2024-01-23,982332.1882701226,4299.882223168488,13367.929506708828,16200,1.288917158004075,0.9683089529657478
2024-01-24,976887.9146996663,5580.541340232463,17531.54396010114,19000,1.288917158004075,0.9683089529657478
2024-01-25,969861.3011047975,7203.466792958688,22935.232102243706,21800,1.288917158004075,0.9683089529657478
2024-01-26,960856.4570903785,9233.129419364353,29910.413490257066,24500,1.288917158004075,0.9683089529657478
2024-01-27,949421.5552446772,11727.509384403627,38850.935370919,27000,1.288917158004075,0.9683089529657478
2024-01-28,935070.3002301056,14722.912066067358,50206.78770382686,29200,1.288917158004075,0.9683089529657478
2024-01-29,917325.83210059,18211.052628282538,64463.115271127324,31100,1.288917158004075,0.9683089529657478
2024-01-30,895793.8664666807,22109.092959295504,82097.04057402372,32700,1.288917158004075,0.9683089529657478
2024-01-31,870266.6174307636,26227.909340774808,103505.47322846153,34000,1.288917158004075,0.9683089529657478
2024-02-01,840846.7302078418,30251.077131450336,128902.19266070775,35000,1.288917158004075,0.9683089529657478
2024-02-02,808061.1640534542,33744.25446259722,158194.5814839485,35700,1.288917158004075,0.9683089529657478
2024-02-03,772915.7165745202,36214.83823424392,190869.4451912358,36200,1.288917158004075,0.9683089529657478
2024-02-04,736837.6136625926,37225.78905374692,225936.59728366046,36500,1.288917158004075,0.9683089529657478
2024-02-05,701483.4388979651,36533.89899641694,261982.66210561793,36700,1.288917158004075,0.9683089529657478
2024-02-06,668451.1665069154,34190.06990248979,297358.7635905948,36800,1.288917158004075,0.9683089529657478
2024-02-07,638993.7483815213,30540.937238778155,330465.31437970046,36850,1.288917158004075,0.9683089529657478
2024-02-08,613839.926874578,26121.695785447533,360038.37733997434,36880,1.288917158004075,0.9683089529657478
2024-02-09,593172.7333659871,21495.017398341966,385332.24923567084,36900,1.288917158004075,0.9683089529657478
2024-02-10,576738.7067721889,17115.22620117107,406146.0670266399,36910,1.288917158004075,0.9683089529657478
