date,time_step_index,S(t),I(t),R(t),observed_I,simulated_new_cases,beta,nu,beta_per_interval,nu_per_interval,R0_per_day,R0_per_interval,infectious_period_days,infectious_period_intervals,,,,
2020-02-08,0,14734013,1,0,1,1.922129426151514,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-02-15,1,14734011.077870574,1.1199263120778657,1.8022031133421774,0,2.1526430379599333,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-02-22,2,14734008.925227536,1.2542346636606958,3.8205378,1,2.4108006861060858,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,Notes on SIR Model
2020-02-29,3,14734006.51442685,1.404649735,6.080923415393714,13,2.699917398393154,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-03-07,4,14734003.814509451,1.573103008627106,8.612387540305201,15,3.0237056966871023,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,Beta = 0.2746 (per day)
2020-03-14,5,14734000.790803755,1.7617575659280718,11.44743868006092,148,3.3863232526928186,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,Nu = 0.2575 (per day)
2020-03-21,6,14733997.404480502,1.9730358475390242,14.622483650330627,447,3.7924262452870607,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-03-28,7,14733993.612054257,2.2096507461558934,18.17829499750118,1327,4.247229130938649,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,"beta_per_interval - 7 day period is the interval, 1 week "
2020-04-04,8,14733989.364825126,2.4746404223425333,22.160534451622198,2798,4.756571542471647,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,"nu_per_interval - 7 day period is the interval, 1 week"
2020-04-11,9,14733984.608253583,2.7714072917729795,26.62033912517031,3168,5.326993240043521,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-04-18,10,14733979.281260343,3.1037616826571277,31.614977974742786,4261,5.965818006545305,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-04-25,11,14733973.315442337,3.4759707220409117,37.20858694229962,3653,6.681247610598803,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-05-02,12,14733966.634194726,3.8928130763200697,43.47299219944801,2908,7.482467016205192,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-05-09,13,14733959.15172771,4.359640245857371,50.48863204525118,2361,8.379762175,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-05-16,14,14733950.771965535,4.882445196971638,58.34558926938719,2225,9.384651945903897,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-05-23,15,14733941.38731359,5.467939207803013,67.14474720409204,2621,10.510035764425993,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-05-30,16,14733930.877277825,6.123637909,76.99908427,2613,11.770359011366963,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-06-06,17,14733919.106918814,6.857957615082094,88.03512357217767,2302,13.181798128411174,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-06-13,18,14733905.925120685,7.680323178179435,100.3945561372473,1472,14.76246789470315,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-06-20,19,14733891.16265279,8.601288730058545,114.23605848043637,1226,16.532653452828526,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-06-27,20,14733874.629999338,9.632672854916807,129.73732780850287,1250,18.515070060268044,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
2020-07-04,21,14733856.114929277,10.787709905578847,147.09736081744063,1084,20.735153855755925,0.274589937,0.25745758762031107,1.9221295558752982,1.8022031133421774,1.0665443543212605,1.0665443543212605,3.8841348947725054,0.5548764135389294,,,,
